problem_no,sub_id,stem,correct,explanation
101-24-10,3,"居住用建物を対象とする定期建物賃貸借契約では、賃貸人は、あらかじめ、賃借人に対し、契約の更新がなく期間の満了により終了する旨を記載した書面を交付して説明しなければならない。",TRUE,"はい、これが定期建物賃貸借契約の最も重要な要件です。この書面交付と説明を怠ると、その契約は普通建物賃貸借契約となってしまい、期間満了での終了を主張できなくなります（借地借家法第38条）。"
101-24-10,4,"床面積が150㎡の居住用建物の定期建物賃貸借契約において、転勤により建物の使用が困難となった場合、賃借人は中途解約の申入れをすることができる。",FALSE,"定期建物賃貸借における賃借人からの中途解約が法律上認められるのは、「居住用」で「床面積200㎡未満」の建物について、転勤・療養・親族の介護などやむを得ない事情がある場合に限られます。設問は床面積の要件を満たしているので解約可能です。"
101-24-11,1,"区分所有法によれば、区分所有者は、規約に別段の定めがない限り、集会の決議によって、管理者を選任し、又は解任することができる。",TRUE,"はい、管理者は、原則として、区分所有者及び議決権の各過半数による集会の決議で選任・解任されます。規約で別段の定めをすることも可能です。"
101-24-11,2,"区分所有法によれば、集会において、区分所有者及び議決権の各5分の4以上の多数による建替え決議があったときは、当該決議に賛成しなかった区分所有者も、当該決議に従う義務がある。",FALSE,"建替え決議に賛成しなかった区分所有者は、決議に従う義務はありません。ただし、建替えに参加しない場合は、決議に賛成した区分所有者等が、その区分所有権および敷地利用権を時価で売り渡すよう請求することができます（売渡し請求権）。"
101-24-11,3,"区分所有法によれば、管理者は、少なくとも毎年1回集会を招集しなければならないが、区分所有者全員の同意があるときは、集会を招集しないで書面又は電磁的方法による決議をすることができる。",TRUE,"その通りです。管理者は毎年1回の定期集会を招集する義務がありますが、全員の同意があれば、集会を開かずに書面投票等で決議することも認められています（書面決議）。"
101-24-11,4,"区分所有法によれば、共用部分の変更（その形状又は効用の著しい変更を伴わないものを除く。）は、区分所有者及び議決権の各4分の3以上の多数による集会の決議で決するが、この区分所有者の定数は、規約で過半数まで減ずることができる。",TRUE,"はい、大規模修繕などの「特別決議」は、原則として区分所有者・議決権の各4分の3以上が必要です。ただし、この「区分所有者の頭数」については、規約で過半数まで緩和することが認められています（議決権の4分の3以上は緩和不可）。"
101-24-12,1,"AはBから借り受けた甲土地の上に乙建物を所有し、Cに対して乙建物を賃貸している。Bの承諾の有無にかかわらず、AはCに対して甲土地の地代を請求することができない。",TRUE,"はい、土地の賃貸借契約は土地所有者Bと借地人Aとの間のものです。AはCから建物の賃料は受け取れますが、土地の所有者ではないため、Cに対して地代を請求することはできません。"
101-24-12,2,"AはBから借り受けた甲土地の上に乙建物を所有している。AがBの承諾を得て甲土地をCに転貸した場合、AはBに対して地代を支払う義務を免れる。",FALSE,"転貸借（又貸し）は、元の賃貸借契約（AB間）を前提として成立します。したがって、Aは転貸人としてCから転貸料を受け取る一方、元の借地人としてBに地代を支払う義務を負い続けます。"
101-24-12,3,"AはBから借り受けた甲土地の上に乙建物を所有している。AがBの承諾なく乙建物をCに譲渡した場合、特段の事情がない限り、Bは借地権の無断譲渡を理由に賃貸借契約を解除することができる。",TRUE,"はい、建物の譲渡は、その敷地である借地権の譲渡を伴います。借地権の譲渡には賃貸人（地主）の承諾が必要であり、無断で譲渡した場合は、信頼関係を破壊する行為として契約を解除されるのが原則です。"
101-24-12,4,"AはBから借り受けた甲土地の上に乙建物を所有している。AがBに無断で甲土地をCに転貸し、Bがこれを理由に契約を解除した場合、CはBに対して建物を時価で買い取るよう請求することはできない。",TRUE,"建物買取請求権は、借地契約が期間満了で終了し、更新がない場合に借地人が地主に対して行使できる権利です。借地人の債務不履行（無断転貸など）を理由に契約が解除された場合には、建物買取請求権は認められません。"
101-24-13,1,"不法行為による損害賠償の請求権は、被害者が損害及び加害者を知った時から3年間行使しないときは、時効によって消滅する。不法行為の時から20年を経過したときも、同様とする。",TRUE,"はい、これが不法行為に基づく損害賠償請求権の消滅時効の原則です（生命・身体の侵害の場合は主観的起算点から5年）。"
101-24-13,2,"土地の工作物の設置又は保存に瑕疵があることによって他人に損害を生じたときは、その工作物の占有者は、被害者に対してその損害を賠償する責任を負う。ただし、占有者が損害の発生を防止するのに必要な注意をしたときは、所有者がその損害を賠償しなければならない。",TRUE,"はい、これが工作物責任の条文通りの内容です。第一次的には占有者が責任を負い（過失責任）、占有者が無過失を証明できた場合に、所有者が無過失でも責任を負います（無過失責任）。"
101-24-13,3,"注文者の注文によって請負人が建てた建物に瑕疵があり、それによって第三者に損害を与えた場合、注文者は、その損害の賠償を第三者に負う。ただし、注文者が請負人に対して適切な指示をしていた場合は、請負人が責任を負う。",FALSE,"原則として、建物の瑕疵による第三者への損害は、その建物の所有者（注文者）が工作物責任を負います。請負人は、注文または指図に過失があった場合にのみ、責任を負うことになります。"
101-24-13,4,"数人が共同の不法行為によって他人に損害を加えたときは、各共同不法行為者は、連帯してその損害を賠償する責任を負う。",TRUE,"はい、共同不法行為者（例えば、複数人が関与した交通事故など）は、被害者に対して「連帯して」全額の賠償責任を負います。被害者は、どの加害者に対しても損害の全額を請求することができます（不真正連帯債務）。"
101-24-14,1,"相続の承認及び放棄は、相続人が自己のために相続の開始があったことを知った時から3か月以内にしなければならない。",TRUE,"はい、これが相続の承認・放棄の熟慮期間です。この期間内に、単純承認、限定承認、相続放棄のいずれかを選択する必要があります。家庭裁判所に申し出ることで、期間の伸長も可能です。"
101-24-14,2,"被相続人の配偶者は、常に相続人となる。被相続人の子がいる場合、被相続人の直系尊属（父母など）は相続人とはならない。",TRUE,"その通りです。配偶者は常に相続人となり、相続順位は第1順位が子、第2順位が直系尊属、第3順位が兄弟姉妹です。上位の順位の相続人がいる場合、下位の順位の者は相続人になりません。"
101-24-14,3,"被相続人の子Aが相続開始以前に死亡しており、Aに子B（被相続人の孫）がいる場合、BがAの相続分を代襲して相続する。",TRUE,"はい、これを代襲相続といいます。本来相続人となるべき子が先に死亡している場合、その子（被相続人から見て孫）が代わりに相続人となります。"
101-24-14,4,"遺言は、15歳に達した者であれば、法定代理人の同意がなくても、単独ですることができる。",TRUE,"はい、遺言能力は15歳以上と定められています。意思能力があれば、未成年者であっても有効な遺言を単独で行うことができます（民法第961条）。"
102-24-15,1,"都市計画区域内の農地を、住宅を建設する目的で取得する場合、あらかじめ農業委員会に届出をすれば、農地法第5条の許可を受ける必要はない。",FALSE,"市街化区域内の農地を転用目的で取得する場合は、農業委員会への「届出」で足ります。しかし、市街化調整区域などそれ以外の区域では、原則通り都道府県知事等の「許可」が必要です。設問は「都市計画区域内」としか限定していないため、許可が不要とは限りません。"
102-24-15,2,"農地の所有者は、その農地を駐車場として利用する場合、農地法第4条の許可を受ける必要はない。",FALSE,"自己所有の農地を農地以外のもの（駐車場、宅地など）に転用する場合でも、農地法第4条に基づく都道府県知事等の許可が必要です。これを無許可で行うと、原状回復命令や罰則の対象となります。"
102-24-15,3,"砂利採取法による認可を受けた採取計画に従って砂利を採取するために農地を取得する場合、農地法第5条の許可は不要である。",FALSE,"たとえ他の法律で認可を受けていても、農地を転用目的で取得（権利移動）する場合には、原則として農地法第5条の許可が必要です。農地法の許可が不要となる例外規定には該当しません。"
102-24-15,4,"相続により農地の所有権を取得した者は、遅滞なく、その農地の存する市町村の農業委員会にその旨を届け出なければならない。",TRUE,"はい、その通りです。相続は許可を必要としませんが、農地の権利関係を把握するため、農業委員会への事後届出が義務付けられています。"
102-24-16,1,"市街化区域内において、面積1,500㎡の土地で図書館を建築する目的の開発行為を行う場合、開発許可は不要である。",TRUE,"はい、図書館、博物館、公民館などの公益上必要な建築物のうち、開発区域の面積が1ha未満のものは、開発許可が不要とされています。面積が1,500㎡なので許可は不要です。"
102-24-16,2,"市街化調整区域内において、農産物の貯蔵に必要な倉庫を建築する目的で面積800㎡の開発行為を行う場合、開発許可は不要である。",TRUE,"市街化調整区域内であっても、農業、林業、漁業を営む者の居住用または業務用建築物（倉庫など）のための開発行為は、規模にかかわらず原則として開発許可が不要です。"
102-24-16,3,"市街化区域及び市街化調整区域のいずれでもない都市計画区域（非線引区域）において、野球場を建設する目的で面積12,000㎡の開発行為を行う場合、開発許可が必要である。",TRUE,"野球場、テニス場、遊園地などの「特定工作物」の建設目的の開発行為は、1ha（10,000㎡）以上の場合に開発許可が必要です。面積が12,000㎡なので許可が必要です。"
102-24-16,4,"準都市計画区域内において、木造2階建ての住宅を1戸建築する目的で面積3,500㎡の開発行為を行う場合、開発許可が必要である。",TRUE,"準都市計画区域内における開発許可の面積要件は、原則として3,000㎡以上です。したがって、面積3,500㎡の土地で住宅を建築する開発行為には許可が必要です。"
102-24-17,1,"第一種低層住居専用地域では、都市計画において、建築物の外壁又はこれに代わる柱の面から敷地境界線までの距離の限度を定めることはできない。",FALSE,"良好な住環境を守るため、第一種・第二種低層住居専用地域では、都市計画により外壁の後退距離（1mまたは1.5m）を定めることができます。"
102-24-17,2,"第二種中高層住居専用地域では、都市計画において、建築物の敷地面積の最低限度を200㎡と定めることができる。",TRUE,"はい、第二種中高層住居専用地域を含む住居系の用途地域では、市町村が条例で、良好な市街地環境の形成のため、建築物の敷地面積の最低限度を200㎡以下の範囲で定めることができます。"
102-24-17,3,"田園住居地域では、都市計画において、建築物の高さの最高限度を10m又は12mと定めることができる。",TRUE,"その通りです。田園住居地域は、低層住宅の良好な住環境と、農業の利便の増進を図る地域であり、低層住居専用地域と同様に、絶対的な高さ制限を定めることができます。"
102-24-17,4,"準住居地域は、道路の沿道としての地域の特性にふさわしい業務の利便の増進を図りつつ、これと調和した住居の環境を保護するための地域である。",TRUE,"はい、これが準住居地域の定義です。幹線道路沿いなどを想定し、自動車関連施設などと住居が混在する地域です。"
102-24-18,1,"建築物の敷地が、都市計画によって定められた壁面線の外側にある場合、その建築物の壁又は柱は、壁面線を越えてはならない。",FALSE,"壁面線が定められた場合、建築物の壁、柱、高さ2m超の門・塀は、その壁面線を越えて建築してはなりません。設問は「外側」とあるため誤りです。"
102-24-18,2,"建築物の敷地が、都市計画によって定められた特定街区内にある場合、容積率又は建蔽率の制限は適用されない。",TRUE,"はい、特定街区は、都市計画で容積率、建蔽率、高さの最高限度などを一体的に定めるため、建築基準法上の用途地域による一般的な容積率・建蔽率の制限は適用されません。"
102-24-18,3,"建築物の敷地が、都市計画によって定められた景観地区内にある場合、建築物の高さの最高限度は、景観計画に定められた内容によらなければならない。",TRUE,"その通りです。景観地区内では、市街地の良好な景観の形成を図るため、建築物の形態意匠の制限や、高さの最高限度・最低限度が景観計画で定められます。"
102-24-18,4,"建築物の敷地が、都市計画によって定められた高度地区内にある場合、建築物の高さは、高度地区に関する都市計画において定められた内容に適合するものでなければならない。",TRUE,"はい、高度地区は、用途地域内において市街地の環境を維持し、又は土地利用の増進を図るため、建築物の高さの最高限度又は最低限度を定める地区です。"
102-24-19,1,"建築基準法上、前面道路の幅員が12m未満である建築物に対する道路斜線制限は、住居系の用途地域でのみ適用される。",FALSE,"道路斜線制限は、用途地域に関わらず、すべての建築物に適用される可能性があります。ただし、適用される勾配の数値は用途地域ごとに異なります。"
102-24-19,2,"第一種低層住居専用地域内においては、原則として、建築物の外壁の後退距離が都市計画によって定められることがある。",TRUE,"はい、良好な住環境を確保するため、第一種および第二種低層住居専用地域では、都市計画により、建築物の外壁や柱を敷地境界線から1mまたは1.5m後退させることが義務付けられる場合があります（外壁の後退距離制限）。"
102-24-19,3,"日影規制（日影による中高層建築物の高さの制限）は、商業地域、工業地域、工業専用地域内に存する建築物には適用されない。",TRUE,"その通りです。日影規制は、主に住居系の地域における日照を確保するための規制であり、これらの3つの用途地域では適用されません。"
102-24-19,4,"防火地域内にある建築物で、外壁が耐火構造であるものについては、その外壁を隣地境界線に接して設けることができる。",TRUE,"はい、これが防火地域における重要なルールです。通常、民法では隣地境界線から50cm以上離す必要がありますが、建築基準法が優先され、防火地域内の耐火構造建築物であれば、隣地境界線に接して（ぴったりくっつけて）建築することが可能です。"
102-24-20,1,"宅地造成及び特定盛土等規制法によれば、宅地造成等工事規制区域内の宅地において、擁壁に関する工事を行う場合、その工事について開発許可を受けたときは、重ねて宅地造成等に関する工事の許可を受ける必要はない。",TRUE,"はい、開発許可を受けた範囲内で行う工事については、宅地造成及び特定盛土等規制法（通称：盛土規制法）の許可は不要とされています。二重の手続きを避けるための調整規定です。"
102-24-20,2,"宅地造成及び特定盛土等規制法によれば、宅地造成等工事規制区域内の宅地で、擁壁の所有者は、その擁壁を常時安全な状態に維持するよう努めなければならない。",TRUE,"その通りです。宅地の所有者、管理者、占有者には、擁壁や排水施設などを常時安全な状態に維持する責務（維持管理義務）があります。"
102-24-20,3,"宅地造成及び特定盛土等規制法によれば、都道府県知事は、宅地造成等工事規制区域内の宅地で、災害の防止のため必要があると認める場合、その宅地の所有者に対し、擁壁の設置を命ずることができる。",TRUE,"はい、都道府県知事は、災害防止のために、宅地の所有者などに対して、擁壁の設置や改造、修繕などの改善命令を出すことができます（勧告・改善命令）。"
102-24-20,4,"宅地造成及び特定盛土等規制法によれば、宅地造成等工事規制区域内の宅地について、都道府県知事から改善命令が出された場合、その宅地の所有者は、その命令に従わなかったとしても、罰則の適用を受けることはない。",FALSE,"知事の改善命令に従わない場合、罰金などの罰則が科される可能性があります。命令の実効性を確保するための規定です。"
102-24-21,1,"土地区画整理組合が施行する土地区画整理事業の換地計画において、換地を定めないで金銭で清算する宅地がある場合、その宅地の所有者は組合の同意がなければ、組合を脱退できる。",FALSE,"換地計画において換地を定められなかった宅地の所有者は、換地処分の公告があった日の翌日に組合員としての資格を失い、自動的に組合から脱退します。同意は不要です。"
102-24-21,2,"土地区画整理組合を設立しようとする者は、事業計画の決定に先立って組合を設立する必要がある場合、7人以上共同して、定款及び事業基本方針を作成し、その組合の設立について都道府県知事の認可を受けなければならない。",TRUE,"はい、これが組合設立の基本的な手続きです。7人以上の発起人が必要で、定款、事業基本方針を作成し、知事の認可を受ける必要があります。"
102-24-21,3,"土地区画整理組合の設立の認可の公告があった日後、換地処分の公告がある日までは、施行地区内において、事業の施行の障害となるおそれがある土地の形質の変更を行おうとする者は、当該組合の許可を受けなければならない。",TRUE,"事業の円滑な進行を確保するため、事業施行中は、土地の形質の変更や建築物の新改築などについて、施行者（この場合は組合）の許可が必要となります（76条許可）。"
102-24-21,4,"土地区画整理組合が施行する土地区画整理事業に係る換地処分は、換地計画に係る区域の全部につき土地区画整理事業の工事が完了した後でなければ、行うことができない。",FALSE,"工事が完了する前であっても、知事の認可を受ければ換地処分を行うことが可能です。実務上も、工事完了前に換地処分が行われることがあります。"
102-24-22,1,"国土利用計画法によれば、市街化区域内の面積3,000㎡の土地をAがBから購入した場合、Bは契約締結日から起算して2週間以内に事後届出を行わなければならない。",FALSE,"事後届出の義務を負うのは、権利取得者である買主Aです。売主Bには届出義務はありません。届出面積は市街化区域で2,000㎡以上なので、届出は必要です。"
